Model,Scenario,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,Notes
Logistic,Default,0.50,0.9999194747861345,1.0,0.9984703976965988,0.9992346134798074,0.9998207074410652,"Trained on 200k downsample of 1.69M"
Random Forest,Default,0.50,0.999976316113569,1.0,0.999550116969588,0.9997750078747244,0.9998476495861076,"Trained on 200k downsample of 1.69M"
Logistic,Calibrated,0.10,0.9999573690044241,1.0,0.9991902105452583,0.9995949412664836,0.9998207074410652,"Threshold tuned on validation"
Random Forest,Calibrated,0.02,0.9999857896681413,1.0,0.9997300701817528,0.9998650168728909,0.9998476495861076,"Threshold tuned on validation"
